team1Name,team2Name,week,day,start,end,season,league,location
Anitaberg Bobcats,Coxfurt Pirates,24,4,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,New Deborahmouth Dolphins,24,5,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,Jenniferborough Mavericks,24,5,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,Potterberg Mavericks,24,6,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,New Rachel Jacks,24,6,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,Joshuabury Pirates,24,7,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,New Cindy Bucaneers,24,7,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,New Paulfort Chargers,25,1,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,Cindyfurt Hawks,25,1,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,New Deborahmouth Dolphins,25,2,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,Jenniferborough Mavericks,25,2,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,Potterberg Mavericks,25,3,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,New Rachel Jacks,25,3,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,Joshuabury Pirates,25,4,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,New Cindy Bucaneers,25,4,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,New Paulfort Chargers,25,5,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,Cindyfurt Hawks,25,5,14,16,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,Jenniferborough Mavericks,25,6,9,11,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,Potterberg Mavericks,25,6,14,16,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,New Rachel Jacks,25,7,9,11,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,Joshuabury Pirates,25,7,14,16,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,New Cindy Bucaneers,26,1,9,11,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,New Paulfort Chargers,26,1,14,16,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,Cindyfurt Hawks,26,2,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,Potterberg Mavericks,26,2,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,New Rachel Jacks,26,3,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,Joshuabury Pirates,26,3,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,New Cindy Bucaneers,26,4,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,New Paulfort Chargers,26,4,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,Cindyfurt Hawks,26,5,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,New Rachel Jacks,26,5,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,Joshuabury Pirates,26,6,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,New Cindy Bucaneers,26,6,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,New Paulfort Chargers,26,7,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,Cindyfurt Hawks,26,7,14,16,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,Joshuabury Pirates,27,1,9,11,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,New Cindy Bucaneers,27,1,14,16,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,New Paulfort Chargers,27,2,9,11,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,Cindyfurt Hawks,27,2,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Joshuabury Pirates,New Cindy Bucaneers,27,3,9,11,2024,Platinum League,Ashleytown Grounds Field #1
Joshuabury Pirates,New Paulfort Chargers,27,3,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Joshuabury Pirates,Cindyfurt Hawks,27,4,9,11,2024,Platinum League,Ashleytown Grounds Field #1
New Cindy Bucaneers,New Paulfort Chargers,27,4,14,16,2024,Platinum League,Ashleytown Grounds Field #1
New Cindy Bucaneers,Cindyfurt Hawks,27,5,9,11,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Cindyfurt Hawks,27,5,14,16,2024,Platinum League,Ashleytown Grounds Field #1
Maloneport Rappers,North Martinstad Robbers,27,6,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,New Christopherburgh Hawks,27,6,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Bennettport Sabres,27,7,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Sarahside Celtics,27,7,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Woodland Hawks,28,1,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Gardnerstad Sabres,28,1,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Port Cameronmouth Sox,28,2,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,South Mason Bucaneers,28,2,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Fisherborough Robbers,28,3,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,East Kristina Westerners,28,3,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Calebmouth Dolphins,28,4,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,North Rebeccachester Bobcats,28,4,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,South Michelle Warriors,28,5,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Lake Terrence Dolphins,28,5,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Port Jamesburgh Warriors,28,6,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,New Christopherburgh Hawks,28,6,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Bennettport Sabres,28,7,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Sarahside Celtics,28,7,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Woodland Hawks,29,1,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Gardnerstad Sabres,29,1,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Port Cameronmouth Sox,29,2,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,South Mason Bucaneers,29,2,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Fisherborough Robbers,29,3,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,East Kristina Westerners,29,3,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Calebmouth Dolphins,29,4,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,North Rebeccachester Bobcats,29,4,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,South Michelle Warriors,29,5,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Lake Terrence Dolphins,29,5,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,Port Jamesburgh Warriors,29,6,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Bennettport Sabres,29,6,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Sarahside Celtics,29,7,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Woodland Hawks,29,7,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Gardnerstad Sabres,30,1,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Port Cameronmouth Sox,30,1,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,South Mason Bucaneers,30,2,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Fisherborough Robbers,30,2,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,East Kristina Westerners,30,3,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Calebmouth Dolphins,30,3,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,North Rebeccachester Bobcats,30,4,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,South Michelle Warriors,30,4,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Lake Terrence Dolphins,30,5,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
New Christopherburgh Hawks,Port Jamesburgh Warriors,30,5,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Sarahside Celtics,30,6,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Woodland Hawks,30,6,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Gardnerstad Sabres,30,7,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Port Cameronmouth Sox,30,7,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,South Mason Bucaneers,31,1,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Fisherborough Robbers,31,1,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,East Kristina Westerners,31,2,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Calebmouth Dolphins,31,2,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,North Rebeccachester Bobcats,31,3,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,South Michelle Warriors,31,3,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Lake Terrence Dolphins,31,4,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Port Jamesburgh Warriors,31,4,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,Woodland Hawks,31,5,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,Gardnerstad Sabres,31,5,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,Port Cameronmouth Sox,31,6,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,South Mason Bucaneers,31,6,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,Fisherborough Robbers,31,7,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,East Kristina Westerners,31,7,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,Calebmouth Dolphins,32,1,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,North Rebeccachester Bobcats,32,1,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,South Michelle Warriors,32,2,9,11,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,Lake Terrence Dolphins,32,2,14,16,2024,Obsidian League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Bergfurt Hawks,32,3,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Wilkinsbury Commandos,32,3,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Richardborough Bears,32,4,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Taylorstad Wildcats,32,4,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,North Jamesside Rappers,32,5,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Kellyhaven Vikings,32,5,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Villaton Rappers,32,6,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Port Michellehaven Mavericks,32,6,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Jenniferport Commandos,32,7,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,West Martinton Dolphins,32,7,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Clairefort Hornets,33,1,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Port Loganberg Warriors,33,1,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,New Gina Pirates,33,2,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,West Ronald Jacks,33,2,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,North Melissa Pirates,33,3,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Weaverview Jacks,33,3,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,East Brittneyfurt Americans,33,4,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Carlsonview Grizzlies,33,4,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,North Nicholas Warriors,33,5,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Jamesburgh Sox,33,5,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Brianburgh Pirates,33,6,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,West Markstad Sox,33,6,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,New Alexandraview Celtics,33,7,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Wilkinsbury Commandos,33,7,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Richardborough Bears,34,1,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Taylorstad Wildcats,34,1,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,North Jamesside Rappers,34,2,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Kellyhaven Vikings,34,2,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Villaton Rappers,34,3,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Port Michellehaven Mavericks,34,3,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Jenniferport Commandos,34,4,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,West Martinton Dolphins,34,4,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Clairefort Hornets,34,5,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Port Loganberg Warriors,34,5,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,New Gina Pirates,34,6,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,West Ronald Jacks,34,6,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,North Melissa Pirates,34,7,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Weaverview Jacks,34,7,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,East Brittneyfurt Americans,35,1,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Carlsonview Grizzlies,35,1,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,North Nicholas Warriors,35,2,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Jamesburgh Sox,35,2,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,Brianburgh Pirates,35,3,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,West Markstad Sox,35,3,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Bergfurt Hawks,New Alexandraview Celtics,35,4,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Wilkinsbury Commandos,Richardborough Bears,35,4,14,16,2024,Diamond League,Ashleytown Grounds Field #1
Wilkinsbury Commandos,Taylorstad Wildcats,35,5,9,11,2024,Diamond League,Ashleytown Grounds Field #1
Wilkinsbury Commandos,North Jamesside Rappers,35,5,14,16,2024,Diamond League,Ashleytown Grounds Field #1
